SUBURB,suburb,count
FINGAL,Fingal,68
FITZROY,Fitzroy,414
FITZROY NORTH,Fitzroy North,386
FLEMINGTON,Flemington,268
FLINDERS,Flinders,84
FOOTSCRAY,Footscray,719
FOREST HILL,Forest Hill,339
FRANKSTON,Frankston,1977
FRANKSTON NORTH,Frankston North,260
FRANKSTON SOUTH,Frankston South,808
FRASER RISE,Fraser Rise,287
GARDENVALE,Gardenvale,32
GARFIELD,Garfield,68
GARFIELD NORTH,Garfield North,2
GEMBROOK,Gembrook,92
GILDEROY,Gilderoy,2
GLADSTONE PARK,Gladstone Park,212
GLADYSDALE,Gladysdale,5
GLEN HUNTLY,Glen Huntly,206
GLEN IRIS,Glen Iris,955
GLEN WAVERLEY,Glen Waverley,1271
GLENROY,Glenroy,925
GOWANBRAE,Gowanbrae,77
GREENSBOROUGH,Greensborough,793
GREENVALE,Greenvale,570
GRUYERE,Gruyere,16
GUYS HILL,Guys Hill,9
HADFIELD,Hadfield,298
HALLAM,Hallam,294
HAMPTON,Hampton,585
HAMPTON EAST,Hampton East,238
HAMPTON PARK,Hampton Park,775
HARKAWAY,Harkaway,28
HARKNESS,Harkness,512
HASTINGS,Hastings,539
HAWTHORN,Hawthorn,994
HAWTHORN EAST,Hawthorn East,599
HEALESVILLE,Healesville,338
HEATHERTON,Heatherton,96
HEATHMONT,Heathmont,348
HEIDELBERG,Heidelberg,277
HEIDELBERG HEIGHTS,Heidelberg Heights,334
HEIDELBERG WEST,Heidelberg West,234
HIGHETT,Highett,613
HILLSIDE,Hillside,447
HODDLES CREEK,Hoddles Creek,14
HOPPERS CROSSING,Hoppers Crossing,1108
HUGHESDALE,Hughesdale,220
HUMEVALE,Humevale,3
HUNTINGDALE,Huntingdale,59
HURSTBRIDGE,Hurstbridge,100
IONA,Iona,2
IVANHOE,Ivanhoe,442
IVANHOE EAST,Ivanhoe East,122
JACANA,Jacana,85
JUNCTION VILLAGE,Junction Village,38
KALKALLO,Kalkallo,242
KALLISTA,Kallista,46
KALORAMA,Kalorama,62
KANGAROO GROUND,Kangaroo Ground,29
KEALBA,Kealba,65
KEILOR,Keilor,143
