"","Month_Yr","SUBURB","n"
"1738","2019-01","COBURG NORTH",5
"1739","2019-01","COCKATOO",6
"1740","2019-01","COLDSTREAM",1
"1741","2019-01","COLLINGWOOD",12
"1742","2019-01","COOLAROO",3
"1743","2019-01","CRAIGIEBURN",39
"1744","2019-01","CRANBOURNE",16
"1745","2019-01","CRANBOURNE EAST",13
"1746","2019-01","CRANBOURNE NORTH",18
"1747","2019-01","CRANBOURNE WEST",15
"1748","2019-01","CRIB POINT",2
"1749","2019-01","CROYDON",25
"1750","2019-01","CROYDON HILLS",1
"1751","2019-01","CROYDON NORTH",5
"1752","2019-01","CROYDON SOUTH",3
"1753","2019-01","DALLAS",3
"1754","2019-01","DANDENONG",14
"1755","2019-01","DANDENONG NORTH",10
"1756","2019-01","DEER PARK",12
"1757","2019-01","DELAHEY",10
"1758","2019-01","DERRIMUT",7
"1759","2019-01","DIAMOND CREEK",9
"1760","2019-01","DIGGERS REST",1
"1761","2019-01","DINGLEY VILLAGE",4
"1762","2019-01","DOCKLANDS",21
"1763","2019-01","DONCASTER",17
"1764","2019-01","DONCASTER EAST",8
"1765","2019-01","DONVALE",11
"1766","2019-01","DOREEN",24
"1767","2019-01","DOVETON",4
"1768","2019-01","DROMANA",12
"1769","2019-01","EAGLEMONT",3
"1770","2019-01","EAST MELBOURNE",4
"1771","2019-01","EAST WARBURTON",1
"1772","2019-01","EDITHVALE",3
"1773","2019-01","ELSTERNWICK",2
"1774","2019-01","ELTHAM",13
"1775","2019-01","ELTHAM NORTH",2
"1776","2019-01","ELWOOD",11
"1777","2019-01","EMERALD",6
"1778","2019-01","ENDEAVOUR HILLS",15
"1779","2019-01","EPPING",14
"1780","2019-01","ESSENDON",5
"1781","2019-01","ESSENDON NORTH",2
"1782","2019-01","ESSENDON WEST",1
"1783","2019-01","EUMEMMERRING",2
"1784","2019-01","EYNESBURY",6
"1785","2019-01","FAWKNER",2
"1786","2019-01","FERNTREE GULLY",21
"1787","2019-01","FERNY CREEK",3
"1788","2019-01","FINGAL",3
"1789","2019-01","FITZROY",6
"1790","2019-01","FITZROY NORTH",7
"1791","2019-01","FLEMINGTON",5
"1792","2019-01","FLINDERS",3
"1793","2019-01","FOOTSCRAY",12
"1794","2019-01","FOREST HILL",1
"1795","2019-01","FRANKSTON",31
"1796","2019-01","FRANKSTON NORTH",6
"1797","2019-01","FRANKSTON SOUTH",17
"1798","2019-01","FRASER RISE",7
"1799","2019-01","GARFIELD",2
"1800","2019-01","GLADSTONE PARK",4
"1801","2019-01","GLEN HUNTLY",1
"1802","2019-01","GLEN IRIS",6
"1803","2019-01","GLEN WAVERLEY",15
"1804","2019-01","GLENROY",13
"1805","2019-01","GOWANBRAE",1
"1806","2019-01","GREENSBOROUGH",10
"1807","2019-01","GREENVALE",5
"1808","2019-01","GRUYERE",1
"1809","2019-01","GUYS HILL",2
"1810","2019-01","HADFIELD",4
"1811","2019-01","HALLAM",6
"1812","2019-01","HAMPTON",11
"1813","2019-01","HAMPTON PARK",26
"1814","2019-01","HARKNESS",15
"1815","2019-01","HASTINGS",13
"1816","2019-01","HAWTHORN",6
"1817","2019-01","HAWTHORN EAST",1
"1818","2019-01","HEALESVILLE",6
"1819","2019-01","HEATHERTON",2
"1820","2019-01","HEATHMONT",3
"1821","2019-01","HEIDELBERG",2
"1822","2019-01","HEIDELBERG HEIGHTS",7
"1823","2019-01","HEIDELBERG WEST",1
"1824","2019-01","HIGHETT",11
"1825","2019-01","HILLSIDE",16
"1826","2019-01","HOPPERS CROSSING",35
"1827","2019-01","HUGHESDALE",3
"1828","2019-01","HUNTINGDALE",2
"1829","2019-01","HURSTBRIDGE",2
"1830","2019-01","IVANHOE",4
"1831","2019-01","IVANHOE EAST",1
"1832","2019-01","JACANA",1
"1833","2019-01","KALKALLO",7
"1834","2019-01","KALLISTA",1
"1835","2019-01","KALORAMA",2
"1836","2019-01","KEALBA",2
"1837","2019-01","KEILOR",3
"1838","2019-01","KEILOR DOWNS",3
"1839","2019-01","KEILOR EAST",3
"1840","2019-01","KEILOR NORTH",1
"1841","2019-01","KEILOR PARK",2
"1842","2019-01","KENSINGTON",2
"1843","2019-01","KEW",11
"1844","2019-01","KEW EAST",2
"1845","2019-01","KEYSBOROUGH",13
"1846","2019-01","KILSYTH",16
"1847","2019-01","KILSYTH SOUTH",4
"1848","2019-01","KINGS PARK",6
"1849","2019-01","KINGSBURY",1
"1850","2019-01","KINGSVILLE",6
"1851","2019-01","KNOXFIELD",6
"1852","2019-01","KOO WEE RUP",2
"1853","2019-01","KURUNJANG",14
"1854","2019-01","LALOR",8
"1855","2019-01","LANG LANG",1
"1856","2019-01","LANGWARRIN",27
"1857","2019-01","LAUNCHING PLACE",4
"1858","2019-01","LAVERTON",2
"1859","2019-01","LILYDALE",20
"1860","2019-01","LOWER PLENTY",2
"1861","2019-01","LYNBROOK",4
"1862","2019-01","LYNDHURST",10
"1863","2019-01","LYSTERFIELD",1
"1864","2019-01","MACLEOD",5
"1865","2019-01","MAIDSTONE",4
"1866","2019-01","MAIN RIDGE",1
"1867","2019-01","MALVERN",2
"1868","2019-01","MALVERN EAST",4
"1869","2019-01","MANOR LAKES",6
"1870","2019-01","MARIBYRNONG",6
"1871","2019-01","MCCRAE",9
"1872","2019-01","MCKINNON",1
"1873","2019-01","MCMAHONS CREEK",2
"1874","2019-01","MEADOW HEIGHTS",7
"1875","2019-01","MELBOURNE",32
"1876","2019-01","MELTON",5
"1877","2019-01","MELTON SOUTH",19
"1878","2019-01","MELTON WEST",5
"1879","2019-01","MENTONE",7
"1880","2019-01","MERNDA",22
"1881","2019-01","MICKLEHAM",14
"1882","2019-01","MIDDLE PARK",4
"1883","2019-01","MILL PARK",3
"1884","2019-01","MILLGROVE",2
"1885","2019-01","MITCHAM",9
"1886","2019-01","MONBULK",3
"1887","2019-01","MONTMORENCY",4
"1888","2019-01","MONTROSE",2
"1889","2019-01","MOONEE PONDS",5
"1890","2019-01","MOORABBIN",5
"1891","2019-01","MOOROODUC",1
"1892","2019-01","MOOROOLBARK",21
"1893","2019-01","MORDIALLOC",2
"1894","2019-01","MORNINGTON",39
"1895","2019-01","MOUNT ELIZA",18
"1896","2019-01","MOUNT EVELYN",8
"1897","2019-01","MOUNT MARTHA",31
"1898","2019-01","MOUNT WAVERLEY",10
"1899","2019-01","MULGRAVE",6
"1900","2019-01","MURRUMBEENA",6
"1901","2019-01","NAR NAR GOON",1
"1902","2019-01","NARRE WARREN",14
"1903","2019-01","NARRE WARREN NORTH",4
"1904","2019-01","NARRE WARREN SOUTH",26
"1905","2019-01","NEWPORT",10
"1906","2019-01","NIDDRIE",4
"1907","2019-01","NOBLE PARK",20
"1908","2019-01","NOBLE PARK NORTH",1
"1909","2019-01","NORTH MELBOURNE",10
"1910","2019-01","NORTH WARRANDYTE",2
"1911","2019-01","NORTHCOTE",10
"1912","2019-01","NOTTING HILL",3
"1913","2019-01","NUNAWADING",1
"1914","2019-01","OAK PARK",4
"1915","2019-01","OAKLEIGH",4
"1916","2019-01","OAKLEIGH EAST",2
"1917","2019-01","OAKLEIGH SOUTH",3
"1918","2019-01","OFFICER",16
"1919","2019-01","OLINDA",2
"1920","2019-01","ORMOND",1
"1921","2019-01","PAKENHAM",59
"1922","2019-01","PAKENHAM SOUTH",1
"1923","2019-01","PAKENHAM UPPER",2
"1924","2019-01","PANTON HILL",2
"1925","2019-01","PARK ORCHARDS",3
"1926","2019-01","PARKDALE",13
"1927","2019-01","PARKVILLE",3
"1928","2019-01","PASCOE VALE",15
"1929","2019-01","PASCOE VALE SOUTH",5
"1930","2019-01","PATTERSON LAKES",5
"1931","2019-01","PEARCEDALE",2
"1932","2019-01","PLENTY",1
"1933","2019-01","PLUMPTON",1
"1934","2019-01","POINT COOK",39
"1935","2019-01","PORT MELBOURNE",5
"1936","2019-01","PORTSEA",2
"1937","2019-01","PRAHRAN",10
"1938","2019-01","PRESTON",14
"1939","2019-01","RED HILL",3
"1940","2019-01","RESEARCH",1
"1941","2019-01","RESERVOIR",17
"1942","2019-01","RICHMOND",15
"1943","2019-01","RINGWOOD",11
"1944","2019-01","RINGWOOD EAST",5
"1945","2019-01","RINGWOOD NORTH",4
"1946","2019-01","ROCKBANK",1
"1947","2019-01","ROSANNA",4
"1948","2019-01","ROSEBUD",25
"1949","2019-01","ROWVILLE",17
"1950","2019-01","ROXBURGH PARK",12
"1951","2019-01","RYE",31
"1952","2019-01","SAFETY BEACH",10
"1953","2019-01","SANDHURST",6
"1954","2019-01","SANDRINGHAM",5
"1955","2019-01","SASSAFRAS",1
"1956","2019-01","SCORESBY",6
"1957","2019-01","SEABROOK",3
"1958","2019-01","SEAFORD",16
"1959","2019-01","SEDDON",1
"1960","2019-01","SELBY",2
"1961","2019-01","SEVILLE",1
"1962","2019-01","SEVILLE EAST",1
"1963","2019-01","SILVAN",1
"1964","2019-01","SKYE",11
"1965","2019-01","SOMERS",3
"1966","2019-01","SOMERVILLE",7
"1967","2019-01","SORRENTO",4
"1968","2019-01","SOUTH KINGSVILLE",1
"1969","2019-01","SOUTH MELBOURNE",8
"1970","2019-01","SOUTH MORANG",9
"1971","2019-01","SOUTH YARRA",8
"1972","2019-01","SOUTHBANK",18
"1973","2019-01","SPOTSWOOD",1
"1974","2019-01","SPRINGVALE",3
"1975","2019-01","SPRINGVALE SOUTH",4
"1976","2019-01","ST ALBANS",17
"1977","2019-01","ST ANDREWS BEACH",1
"1978","2019-01","ST HELENA",1
"1979","2019-01","ST KILDA",16
"1980","2019-01","ST KILDA EAST",7
"1981","2019-01","ST KILDA WEST",1
"1982","2019-01","STRATHMORE",3
"1983","2019-01","SUNBURY",37
"1984","2019-01","SUNSHINE",5
"1985","2019-01","SUNSHINE NORTH",3
"1986","2019-01","SUNSHINE WEST",8
"1987","2019-01","SURREY HILLS",4
"1988","2019-01","SYDENHAM",9
"1989","2019-01","TARNEIT",44
"1990","2019-01","TAYLORS HILL",7
"1991","2019-01","TAYLORS LAKES",4
"1992","2019-01","TECOMA",4
"1993","2019-01","TEMPLESTOWE",7
"1994","2019-01","TEMPLESTOWE LOWER",6
"1995","2019-01","THE BASIN",1
"1996","2019-01","THE PATCH",1
"1997","2019-01","THOMASTOWN",7
"1998","2019-01","THORNBURY",4
"1999","2019-01","THORNHILL PARK",1
"2000","2019-01","TOORAK",4
"2001","2019-01","TOOTGAROOK",3
"2002","2019-01","TRAVANCORE",2
"2003","2019-01","TRUGANINA",22
"2004","2019-01","TULLAMARINE",2
"2005","2019-01","TYABB",3
"2006","2019-01","UPPER FERNTREE GULLY",1
"2007","2019-01","UPWEY",6
"2008","2019-01","VERMONT",4
"2009","2019-01","VERMONT SOUTH",2
"2010","2019-01","VIEWBANK",5
"2011","2019-01","WANDIN NORTH",3
"2012","2019-01","WANTIRNA",9
"2013","2019-01","WANTIRNA SOUTH",11
"2014","2019-01","WARBURTON",3
"2015","2019-01","WARRANDYTE",1
"2016","2019-01","WARRANDYTE SOUTH",1
"2017","2019-01","WARRANWOOD",3
"2018","2019-01","WATSONIA",2
"2019","2019-01","WATSONIA NORTH",1
"2020","2019-01","WATTLE GLEN",1
"2021","2019-01","WEIR VIEWS",1
"2022","2019-01","WERRIBEE",41
"2023","2019-01","WESBURN",1
"2024","2019-01","WEST FOOTSCRAY",1
"2025","2019-01","WEST MELBOURNE",5
"2026","2019-01","WESTMEADOWS",7
"2027","2019-01","WHEELERS HILL",8
"2028","2019-01","WHITTLESEA",2
"2029","2019-01","WILLIAMS LANDING",3
"2030","2019-01","WILLIAMSTOWN",7
"2031","2019-01","WINDSOR",1
"2032","2019-01","WOLLERT",20
"2033","2019-01","WONGA PARK",1
"2034","2019-01","WOORI YALLOCK",5
"2035","2019-01","WYNDHAM VALE",23
"2036","2019-01","YALLAMBIE",3
"2037","2019-01","YARRA GLEN",1
"2038","2019-01","YARRA JUNCTION",1
"2039","2019-01","YARRAMBAT",1
"2040","2019-01","YARRAVILLE",8
"2041","2019-02","ABBOTSFORD",13
"2042","2019-02","ABERFELDIE",1
"2043","2019-02","AINTREE",3
"2044","2019-02","AIRPORT WEST",8
"2045","2019-02","ALBANVALE",2
"2046","2019-02","ALBERT PARK",6
"2047","2019-02","ALBION",3
"2048","2019-02","ALTONA",12
"2049","2019-02","ALTONA MEADOWS",12
"2050","2019-02","ALTONA NORTH",11
"2051","2019-02","ARDEER",1
"2052","2019-02","ARMADALE",12
"2053","2019-02","ARTHURS SEAT",1
"2054","2019-02","ASCOT VALE",16
"2055","2019-02","ASHBURTON",2
"2056","2019-02","ASHWOOD",6
"2057","2019-02","ASPENDALE",6
"2058","2019-02","ASPENDALE GARDENS",4
"2059","2019-02","AVONDALE HEIGHTS",10
"2060","2019-02","AVONSLEIGH",2
"2061","2019-02","BADGER CREEK",2
"2062","2019-02","BALACLAVA",1
"2063","2019-02","BALNARRING",5
"2064","2019-02","BALNARRING BEACH",1
"2065","2019-02","BALWYN",12
"2066","2019-02","BALWYN NORTH",15
"2067","2019-02","BAXTER",6
"2068","2019-02","BAYSWATER",11
"2069","2019-02","BAYSWATER NORTH",7
"2070","2019-02","BEACONSFIELD",5
"2071","2019-02","BEACONSFIELD UPPER",3
"2072","2019-02","BEAUMARIS",13
"2073","2019-02","BELGRAVE",4
"2074","2019-02","BELGRAVE HEIGHTS",1
"2075","2019-02","BELGRAVE SOUTH",1
"2076","2019-02","BENTLEIGH",15
"2077","2019-02","BENTLEIGH EAST",25
"2078","2019-02","BERWICK",52
"2079","2019-02","BITTERN",6
"2080","2019-02","BLACK ROCK",4
"2081","2019-02","BLACKBURN",14
"2082","2019-02","BLACKBURN NORTH",5
"2083","2019-02","BLACKBURN SOUTH",6
"2084","2019-02","BLAIRGOWRIE",5
"2085","2019-02","BLIND BIGHT",2
"2086","2019-02","BONBEACH",11
"2087","2019-02","BORONIA",36
"2088","2019-02","BOTANIC RIDGE",12
"2089","2019-02","BOX HILL",9
"2090","2019-02","BOX HILL NORTH",10
"2091","2019-02","BOX HILL SOUTH",8
"2092","2019-02","BRAYBROOK",4
"2093","2019-02","BRIAR HILL",3
"2094","2019-02","BRIGHTON",24
"2095","2019-02","BRIGHTON EAST",13
"2096","2019-02","BROADMEADOWS",8
"2097","2019-02","BROOKFIELD",8
"2098","2019-02","BROOKLYN",5
"2099","2019-02","BRUNSWICK",35
"2100","2019-02","BRUNSWICK EAST",19
"2101","2019-02","BRUNSWICK WEST",17
"2102","2019-02","BULLEEN",11
"2103","2019-02","BUNDOORA",26
"2104","2019-02","BUNYIP",5
"2105","2019-02","BURNSIDE",4
"2106","2019-02","BURNSIDE HEIGHTS",2
"2107","2019-02","BURWOOD",7
"2108","2019-02","BURWOOD EAST",8
"2109","2019-02","CAIRNLEA",3
"2110","2019-02","CAMBERWELL",19
"2111","2019-02","CAMPBELLFIELD",1
"2112","2019-02","CANTERBURY",5
"2113","2019-02","CAPEL SOUND",7
"2114","2019-02","CARDINIA",1
"2115","2019-02","CARLTON",17
"2116","2019-02","CARLTON NORTH",3
"2117","2019-02","CARNEGIE",15
"2118","2019-02","CAROLINE SPRINGS",19
"2119","2019-02","CARRUM",8
"2120","2019-02","CARRUM DOWNS",21
"2121","2019-02","CAULFIELD",4
"2122","2019-02","CAULFIELD EAST",1
"2123","2019-02","CAULFIELD NORTH",8
"2124","2019-02","CAULFIELD SOUTH",14
"2125","2019-02","CHADSTONE",7
"2126","2019-02","CHELSEA",11
"2127","2019-02","CHELSEA HEIGHTS",1
"2128","2019-02","CHELTENHAM",30
"2129","2019-02","CHIRNSIDE PARK",9
"2130","2019-02","CLARINDA",2
"2131","2019-02","CLAYTON",12
"2132","2019-02","CLAYTON SOUTH",7
"2133","2019-02","CLIFTON HILL",5
"2134","2019-02","CLYDE",5
"2135","2019-02","CLYDE NORTH",34
"2136","2019-02","COBBLEBANK",1
"2137","2019-02","COBURG",20
"2138","2019-02","COBURG NORTH",7
"2139","2019-02","COCKATOO",6
"2140","2019-02","COLDSTREAM",1
"2141","2019-02","COLLINGWOOD",10
"2142","2019-02","CRAIGIEBURN",47
"2143","2019-02","CRANBOURNE",16
"2144","2019-02","CRANBOURNE EAST",26
"2145","2019-02","CRANBOURNE NORTH",20
"2146","2019-02","CRANBOURNE SOUTH",2
"2147","2019-02","CRANBOURNE WEST",21
"2148","2019-02","CREMORNE",2
"2149","2019-02","CRIB POINT",4
"2150","2019-02","CROYDON",32
"2151","2019-02","CROYDON HILLS",2
"2152","2019-02","CROYDON NORTH",10
"2153","2019-02","CROYDON SOUTH",8
"2154","2019-02","DALLAS",1
"2155","2019-02","DANDENONG",22
"2156","2019-02","DANDENONG NORTH",20
"2157","2019-02","DEER PARK",15
"2158","2019-02","DELAHEY",4
"2159","2019-02","DERRIMUT",3
"2160","2019-02","DEVON MEADOWS",1
"2161","2019-02","DIAMOND CREEK",7
"2162","2019-02","DIGGERS REST",2
"2163","2019-02","DINGLEY VILLAGE",3
"2164","2019-02","DOCKLANDS",18
"2165","2019-02","DONCASTER",21
"2166","2019-02","DONCASTER EAST",14
"2167","2019-02","DONVALE",10
"2168","2019-02","DOREEN",34
"2169","2019-02","DOVETON",6
"2170","2019-02","DROMANA",7
"2171","2019-02","EAGLEMONT",1
"2172","2019-02","EAST MELBOURNE",5
"2173","2019-02","EAST WARBURTON",3
"2174","2019-02","EDITHVALE",8
"2175","2019-02","ELSTERNWICK",7
"2176","2019-02","ELTHAM",19
"2177","2019-02","ELTHAM NORTH",4
"2178","2019-02","ELWOOD",16
"2179","2019-02","EMERALD",8
"2180","2019-02","ENDEAVOUR HILLS",16
"2181","2019-02","EPPING",19
"2182","2019-02","ESSENDON",19
"2183","2019-02","ESSENDON NORTH",3
"2184","2019-02","EUMEMMERRING",2
"2185","2019-02","EYNESBURY",5
"2186","2019-02","FAIRFIELD",11
"2187","2019-02","FAWKNER",12
"2188","2019-02","FERNTREE GULLY",31
"2189","2019-02","FERNY CREEK",3
"2190","2019-02","FINGAL",2
"2191","2019-02","FITZROY",13
"2192","2019-02","FITZROY NORTH",9
"2193","2019-02","FLEMINGTON",9
"2194","2019-02","FLINDERS",5
"2195","2019-02","FOOTSCRAY",21
"2196","2019-02","FOREST HILL",11
"2197","2019-02","FRANKSTON",62
"2198","2019-02","FRANKSTON NORTH",6
"2199","2019-02","FRANKSTON SOUTH",22
"2200","2019-02","FRASER RISE",6
"2201","2019-02","GARDENVALE",1
"2202","2019-02","GARFIELD",3
"2203","2019-02","GEMBROOK",3
"2204","2019-02","GLADSTONE PARK",6
"2205","2019-02","GLEN HUNTLY",9
"2206","2019-02","GLEN IRIS",24
"2207","2019-02","GLEN WAVERLEY",29
"2208","2019-02","GLENROY",29
"2209","2019-02","GOWANBRAE",2
"2210","2019-02","GREENSBOROUGH",21
"2211","2019-02","GREENVALE",17
"2212","2019-02","HADFIELD",4
"2213","2019-02","HALLAM",13
"2214","2019-02","HAMPTON",20
"2215","2019-02","HAMPTON EAST",6
"2216","2019-02","HAMPTON PARK",15
"2217","2019-02","HARKNESS",14
"2218","2019-02","HASTINGS",13
"2219","2019-02","HAWTHORN",23
"2220","2019-02","HAWTHORN EAST",8
"2221","2019-02","HEALESVILLE",9
"2222","2019-02","HEATHMONT",12
"2223","2019-02","HEIDELBERG",10
"2224","2019-02","HEIDELBERG HEIGHTS",9
"2225","2019-02","HEIDELBERG WEST",3
"2226","2019-02","HIGHETT",13
"2227","2019-02","HILLSIDE",7
"2228","2019-02","HODDLES CREEK",1
"2229","2019-02","HOPPERS CROSSING",28
"2230","2019-02","HUGHESDALE",3
"2231","2019-02","HUMEVALE",1
"2232","2019-02","HUNTINGDALE",2
"2233","2019-02","IVANHOE",11
"2234","2019-02","IVANHOE EAST",3
"2235","2019-02","JACANA",2
"2236","2019-02","JUNCTION VILLAGE",1
"2237","2019-02","KALKALLO",3
"2238","2019-02","KALLISTA",2
"2239","2019-02","KALORAMA",1
"2240","2019-02","KANGAROO GROUND",1
"2241","2019-02","KEALBA",2
"2242","2019-02","KEILOR",3
"2243","2019-02","KEILOR DOWNS",8
"2244","2019-02","KEILOR EAST",8
"2245","2019-02","KEILOR PARK",1
"2246","2019-02","KENSINGTON",12
"2247","2019-02","KEW",17
"2248","2019-02","KEW EAST",4
"2249","2019-02","KEYSBOROUGH",17
"2250","2019-02","KILSYTH",20
"2251","2019-02","KILSYTH SOUTH",2
"2252","2019-02","KINGS PARK",6
"2253","2019-02","KINGSBURY",1
"2254","2019-02","KINGSVILLE",5
"2255","2019-02","KNOXFIELD",5
"2256","2019-02","KOO WEE RUP",3
"2257","2019-02","KURUNJANG",12
"2258","2019-02","LALOR",13
"2259","2019-02","LANG LANG",1
"2260","2019-02","LANGWARRIN",29
"2261","2019-02","LANGWARRIN SOUTH",1
"2262","2019-02","LAUNCHING PLACE",3
"2263","2019-02","LAVERTON",6
"2264","2019-02","LILYDALE",18
"2265","2019-02","LITTLE RIVER",1
"2266","2019-02","LOWER PLENTY",4
"2267","2019-02","LYNBROOK",5
"2268","2019-02","LYNDHURST",6
"2269","2019-02","LYSTERFIELD",10
"2270","2019-02","MACLEOD",9
"2271","2019-02","MAIDSTONE",9
"2272","2019-02","MALVERN",6
"2273","2019-02","MALVERN EAST",21
"2274","2019-02","MANOR LAKES",12
"2275","2019-02","MARIBYRNONG",12
"2276","2019-02","MCCRAE",6
"2277","2019-02","MCKINNON",3
"2278","2019-02","MEADOW HEIGHTS",10
"2279","2019-02","MELBOURNE",62
"2280","2019-02","MELTON",12
"2281","2019-02","MELTON SOUTH",23
"2282","2019-02","MELTON WEST",12
"2283","2019-02","MENTONE",10
"2284","2019-02","MENZIES CREEK",2
"2285","2019-02","MERNDA",15
"2286","2019-02","MERRICKS BEACH",1
"2287","2019-02","MICKLEHAM",16
"2288","2019-02","MIDDLE PARK",5
"2289","2019-02","MILL PARK",22
"2290","2019-02","MILLGROVE",4
"2291","2019-02","MITCHAM",20
"2292","2019-02","MONBULK",3
"2293","2019-02","MONT ALBERT",1
"2294","2019-02","MONT ALBERT NORTH",7
"2295","2019-02","MONTMORENCY",6
"2296","2019-02","MONTROSE",7
"2297","2019-02","MOONEE PONDS",13
"2298","2019-02","MOORABBIN",10
"2299","2019-02","MOOROOLBARK",32
"2300","2019-02","MORDIALLOC",9
"2301","2019-02","MORNINGTON",35
"2302","2019-02","MOUNT DANDENONG",2
"2303","2019-02","MOUNT ELIZA",20
"2304","2019-02","MOUNT EVELYN",9
"2305","2019-02","MOUNT MARTHA",34
"2306","2019-02","MOUNT WAVERLEY",27
"2307","2019-02","MULGRAVE",17
"2308","2019-02","MURRUMBEENA",12
"2309","2019-02","NAR NAR GOON",1
"2310","2019-02","NARRE WARREN",23
"2311","2019-02","NARRE WARREN NORTH",5
"2312","2019-02","NARRE WARREN SOUTH",29
"2313","2019-02","NEWPORT",7
"2314","2019-02","NIDDRIE",7
"2315","2019-02","NOBLE PARK",27
"2316","2019-02","NOBLE PARK NORTH",7
"2317","2019-02","NORTH MELBOURNE",9
"2318","2019-02","NORTH WARRANDYTE",4
"2319","2019-02","NORTHCOTE",25
"2320","2019-02","NOTTING HILL",5
"2321","2019-02","NUNAWADING",8
"2322","2019-02","OAK PARK",7
"2323","2019-02","OAKLEIGH",5
"2324","2019-02","OAKLEIGH EAST",2
"2325","2019-02","OAKLEIGH SOUTH",8
"2326","2019-02","OFFICER",20
"2327","2019-02","OLINDA",1
"2328","2019-02","ORMOND",3
"2329","2019-02","PAKENHAM",81
"2330","2019-02","PANTON HILL",1
"2331","2019-02","PARK ORCHARDS",1
"2332","2019-02","PARKDALE",12
"2333","2019-02","PARKVILLE",3
"2334","2019-02","PASCOE VALE",13
"2335","2019-02","PASCOE VALE SOUTH",12
"2336","2019-02","PATTERSON LAKES",9
"2337","2019-02","PEARCEDALE",3
"2338","2019-02","PLENTY",1
"2339","2019-02","PLUMPTON",1
"2340","2019-02","POINT COOK",65
"2341","2019-02","PORT MELBOURNE",21
"2342","2019-02","PORTSEA",1
"2343","2019-02","PRAHRAN",16
"2344","2019-02","PRESTON",26
"2345","2019-02","RED HILL",1
"2346","2019-02","RESERVOIR",30
"2347","2019-02","RICHMOND",28
"2348","2019-02","RINGWOOD",14
"2349","2019-02","RINGWOOD EAST",8
"2350","2019-02","RINGWOOD NORTH",10
"2351","2019-02","ROCKBANK",3
"2352","2019-02","ROSANNA",6
"2353","2019-02","ROSEBUD",21
"2354","2019-02","ROWVILLE",22
"2355","2019-02","ROXBURGH PARK",17
"2356","2019-02","RYE",28
"2357","2019-02","SAFETY BEACH",9
"2358","2019-02","SANDHURST",8
"2359","2019-02","SANDRINGHAM",14
"2360","2019-02","SCORESBY",9
"2361","2019-02","SEABROOK",7
"2362","2019-02","SEAFORD",23
"2363","2019-02","SEAHOLME",1
"2364","2019-02","SEDDON",5
"2365","2019-02","SELBY",1
"2366","2019-02","SEVILLE",3
"2367","2019-02","SEVILLE EAST",2
"2368","2019-02","SHOREHAM",2
"2369","2019-02","SKYE",11
"2370","2019-02","SOMERS",5
"2371","2019-02","SOMERVILLE",16
"2372","2019-02","SORRENTO",10
"2373","2019-02","SOUTH KINGSVILLE",2
"2374","2019-02","SOUTH MELBOURNE",9
"2375","2019-02","SOUTH MORANG",10
"2376","2019-02","SOUTH YARRA",28
"2377","2019-02","SOUTHBANK",36
"2378","2019-02","SPOTSWOOD",3
"2379","2019-02","SPRINGVALE",10
"2380","2019-02","SPRINGVALE SOUTH",3
"2381","2019-02","ST ALBANS",15
"2382","2019-02","ST ANDREWS",1
"2383","2019-02","ST ANDREWS BEACH",1
"2384","2019-02","ST HELENA",2
"2385","2019-02","ST KILDA",33
"2386","2019-02","ST KILDA EAST",12
"2387","2019-02","ST KILDA WEST",7
"2388","2019-02","STRATHEWEN",1
"2389","2019-02","STRATHMORE",6
"2390","2019-02","SUNBURY",35
"2391","2019-02","SUNSHINE",3
"2392","2019-02","SUNSHINE NORTH",5
"2393","2019-02","SUNSHINE WEST",13
"2394","2019-02","SURREY HILLS",11
"2395","2019-02","SYDENHAM",4
"2396","2019-02","TARNEIT",38
"2397","2019-02","TAYLORS HILL",4
"2398","2019-02","TAYLORS LAKES",7
"2399","2019-02","TECOMA",1
"2400","2019-02","TEMPLESTOWE",12
"2401","2019-02","TEMPLESTOWE LOWER",10
"2402","2019-02","THE BASIN",7
"2403","2019-02","THE PATCH",1
"2404","2019-02","THOMASTOWN",9
"2405","2019-02","THORNBURY",16
"2406","2019-02","THORNHILL PARK",1
"2407","2019-02","TOORADIN",1
"2408","2019-02","TOORAK",17
"2409","2019-02","TOOTGAROOK",5
"2410","2019-02","TRAVANCORE",2
"2411","2019-02","TRUGANINA",27
"2412","2019-02","TULLAMARINE",9
"2413","2019-02","TYABB",3
"2414","2019-02","UPWEY",7
"2415","2019-02","VERMONT",10
"2416","2019-02","VERMONT SOUTH",8
"2417","2019-02","VIEWBANK",3
"2418","2019-02","WANDIN NORTH",2
"2419","2019-02","WANTIRNA",5
"2420","2019-02","WANTIRNA SOUTH",7
"2421","2019-02","WARBURTON",2
"2422","2019-02","WARNEET",1
"2423","2019-02","WARRANDYTE",4
"2424","2019-02","WARRANWOOD",7
"2425","2019-02","WATERWAYS",1
"2426","2019-02","WATSONIA",8
"2427","2019-02","WATSONIA NORTH",1
"2428","2019-02","WATTLE GLEN",1
"2429","2019-02","WEIR VIEWS",4
"2430","2019-02","WERRIBEE",54
"2431","2019-02","WERRIBEE SOUTH",2
"2432","2019-02","WESBURN",2
"2433","2019-02","WEST FOOTSCRAY",11
"2434","2019-02","WEST MELBOURNE",1
"2435","2019-02","WESTMEADOWS",5
"2436","2019-02","WHEELERS HILL",10
"2437","2019-02","WHITTLESEA",3
