"","Month_Yr","SUBURB","n"
"146","2018-09","EYNESBURY",2
"147","2018-09","FAIRFIELD",11
"148","2018-09","FAWKNER",9
"149","2018-09","FERNTREE GULLY",23
"150","2018-09","FERNY CREEK",1
"151","2018-09","FINGAL",2
"152","2018-09","FITZROY",7
"153","2018-09","FITZROY NORTH",11
"154","2018-09","FLEMINGTON",5
"155","2018-09","FLINDERS",4
"156","2018-09","FOOTSCRAY",19
"157","2018-09","FOREST HILL",13
"158","2018-09","FRANKSTON",58
"159","2018-09","FRANKSTON NORTH",5
"160","2018-09","FRANKSTON SOUTH",17
"161","2018-09","GARDENVALE",1
"162","2018-09","GARFIELD",1
"163","2018-09","GEMBROOK",6
"164","2018-09","GLADSTONE PARK",3
"165","2018-09","GLEN HUNTLY",7
"166","2018-09","GLEN IRIS",33
"167","2018-09","GLEN WAVERLEY",38
"168","2018-09","GLENROY",19
"169","2018-09","GOWANBRAE",4
"170","2018-09","GREENSBOROUGH",22
"171","2018-09","GREENVALE",14
"172","2018-09","HADFIELD",14
"173","2018-09","HALLAM",9
"174","2018-09","HAMPTON",16
"175","2018-09","HAMPTON EAST",6
"176","2018-09","HAMPTON PARK",17
"177","2018-09","HARKNESS",14
"178","2018-09","HASTINGS",7
"179","2018-09","HAWTHORN",30
"180","2018-09","HAWTHORN EAST",10
"181","2018-09","HEALESVILLE",9
"182","2018-09","HEATHMONT",10
"183","2018-09","HEIDELBERG",8
"184","2018-09","HEIDELBERG HEIGHTS",11
"185","2018-09","HEIDELBERG WEST",3
"186","2018-09","HIGHETT",16
"187","2018-09","HILLSIDE",12
"188","2018-09","HOPPERS CROSSING",38
"189","2018-09","HUGHESDALE",7
"190","2018-09","HUNTINGDALE",1
"191","2018-09","HURSTBRIDGE",4
"192","2018-09","IVANHOE",9
"193","2018-09","IVANHOE EAST",6
"194","2018-09","JACANA",1
"195","2018-09","KALKALLO",3
"196","2018-09","KALLISTA",3
"197","2018-09","KALORAMA",1
"198","2018-09","KEALBA",3
"199","2018-09","KEILOR",1
"200","2018-09","KEILOR DOWNS",9
"201","2018-09","KEILOR EAST",9
"202","2018-09","KEILOR PARK",1
"203","2018-09","KENSINGTON",12
"204","2018-09","KEW",22
"205","2018-09","KEW EAST",10
"206","2018-09","KEYSBOROUGH",23
"207","2018-09","KILSYTH",16
"208","2018-09","KILSYTH SOUTH",2
"209","2018-09","KINGS PARK",7
"210","2018-09","KINGSBURY",1
"211","2018-09","KINGSVILLE",5
"212","2018-09","KNOXFIELD",6
"213","2018-09","KOO WEE RUP",4
"214","2018-09","KOOYONG",1
"215","2018-09","KURUNJANG",9
"216","2018-09","LALOR",14
"217","2018-09","LANG LANG",2
"218","2018-09","LANGWARRIN",32
"219","2018-09","LANGWARRIN SOUTH",1
"220","2018-09","LAUNCHING PLACE",1
"221","2018-09","LAVERTON",6
"222","2018-09","LILYDALE",20
"223","2018-09","LOWER PLENTY",2
"224","2018-09","LYNBROOK",3
"225","2018-09","LYNDHURST",4
"226","2018-09","LYSTERFIELD",5
"227","2018-09","MACCLESFIELD",2
"228","2018-09","MACLEOD",4
"229","2018-09","MAIDSTONE",7
"230","2018-09","MAIN RIDGE",2
"231","2018-09","MALVERN",14
"232","2018-09","MALVERN EAST",12
"233","2018-09","MANOR LAKES",5
"234","2018-09","MARIBYRNONG",16
"235","2018-09","MCCRAE",7
"236","2018-09","MCKINNON",4
"237","2018-09","MEADOW HEIGHTS",9
"238","2018-09","MELBOURNE",43
"239","2018-09","MELTON",12
"240","2018-09","MELTON SOUTH",25
"241","2018-09","MELTON WEST",8
"242","2018-09","MENTONE",16
"243","2018-09","MERNDA",16
