"","year","SUBURB","n"
"186","2018","GLEN IRIS",112
"187","2018","GLEN WAVERLEY",153
"188","2018","GLENROY",98
"189","2018","GOWANBRAE",15
"190","2018","GREENSBOROUGH",99
"191","2018","GREENVALE",75
"192","2018","GUYS HILL",2
"193","2018","HADFIELD",33
"194","2018","HALLAM",27
"195","2018","HAMPTON",71
"196","2018","HAMPTON EAST",26
"197","2018","HAMPTON PARK",82
"198","2018","HARKAWAY",1
"199","2018","HARKNESS",56
"200","2018","HASTINGS",57
"201","2018","HAWTHORN",125
"202","2018","HAWTHORN EAST",49
"203","2018","HEALESVILLE",34
"204","2018","HEATHERTON",6
"205","2018","HEATHMONT",43
"206","2018","HEIDELBERG",23
"207","2018","HEIDELBERG HEIGHTS",46
"208","2018","HEIDELBERG WEST",25
"209","2018","HIGHETT",66
"210","2018","HILLSIDE",64
"211","2018","HOPPERS CROSSING",146
"212","2018","HUGHESDALE",29
"213","2018","HUMEVALE",1
"214","2018","HUNTINGDALE",7
"215","2018","HURSTBRIDGE",10
"216","2018","IVANHOE",40
"217","2018","IVANHOE EAST",20
"218","2018","JACANA",12
"219","2018","JUNCTION VILLAGE",2
"220","2018","KALKALLO",15
"221","2018","KALLISTA",11
"222","2018","KALORAMA",7
"223","2018","KANGAROO GROUND",4
"224","2018","KEALBA",12
"225","2018","KEILOR",11
"226","2018","KEILOR DOWNS",28
"227","2018","KEILOR EAST",59
"228","2018","KEILOR PARK",5
"229","2018","KENSINGTON",68
"230","2018","KEW",92
"231","2018","KEW EAST",30
"232","2018","KEYSBOROUGH",108
"233","2018","KILSYTH",68
"234","2018","KILSYTH SOUTH",7
"235","2018","KINGS PARK",21
"236","2018","KINGSBURY",9
"237","2018","KINGSVILLE",21
"238","2018","KNOXFIELD",34
"239","2018","KOO WEE RUP",15
"240","2018","KOOYONG",2
"241","2018","KURUNJANG",42
"242","2018","LALOR",71
"243","2018","LANG LANG",6
"244","2018","LANGWARRIN",127
"245","2018","LANGWARRIN SOUTH",2
"246","2018","LAUNCHING PLACE",10
"247","2018","LAVERTON",34
"248","2018","LILYDALE",75
"249","2018","LITTLE RIVER",4
"250","2018","LOWER PLENTY",25
"251","2018","LYNBROOK",25
"252","2018","LYNDHURST",26
"253","2018","LYSTERFIELD",21
"254","2018","LYSTERFIELD SOUTH",3
"255","2018","MACCLESFIELD",3
"256","2018","MACLEOD",40
"257","2018","MAIDSTONE",41
"258","2018","MAIN RIDGE",6
"259","2018","MALVERN",57
"260","2018","MALVERN EAST",72
"261","2018","MANOR LAKES",34
"262","2018","MARIBYRNONG",64
"263","2018","MCCRAE",20
"264","2018","MCKINNON",20
"265","2018","MEADOW HEIGHTS",22
"266","2018","MELBOURNE",219
"267","2018","MELTON",59
"268","2018","MELTON SOUTH",67
"269","2018","MELTON WEST",46
"270","2018","MENTONE",64
"271","2018","MENZIES CREEK",4
"272","2018","MERNDA",111
"273","2018","MERRICKS NORTH",2
"274","2018","MICKLEHAM",49
"275","2018","MIDDLE PARK",20
"276","2018","MILL PARK",111
"277","2018","MILLGROVE",11
"278","2018","MITCHAM",71
"279","2018","MONBULK",15
"280","2018","MONT ALBERT",12
"281","2018","MONT ALBERT NORTH",26
"282","2018","MONTMORENCY",38
"283","2018","MONTROSE",24
"284","2018","MOONEE PONDS",61
"285","2018","MOORABBIN",37
"286","2018","MOOROODUC",2
"287","2018","MOOROOLBARK",87
"288","2018","MORDIALLOC",52
"289","2018","MORNINGTON",131
"290","2018","MOUNT BURNETT",2
"291","2018","MOUNT DANDENONG",5
"292","2018","MOUNT ELIZA",90
"293","2018","MOUNT EVELYN",37
"294","2018","MOUNT MARTHA",99
"295","2018","MOUNT WAVERLEY",135
"296","2018","MULGRAVE",73
"297","2018","MURRUMBEENA",47
"298","2018","NAR NAR GOON",3
"299","2018","NAR NAR GOON NORTH",1
"300","2018","NARRE WARREN",106
"301","2018","NARRE WARREN EAST",2
"302","2018","NARRE WARREN NORTH",9
"303","2018","NARRE WARREN SOUTH",94
"304","2018","NEWPORT",64
"305","2018","NIDDRIE",28
"306","2018","NOBLE PARK",99
"307","2018","NOBLE PARK NORTH",23
"308","2018","NORTH MELBOURNE",63
"309","2018","NORTH WARRANDYTE",9
"310","2018","NORTHCOTE",119
"311","2018","NOTTING HILL",12
"312","2018","NUNAWADING",34
"313","2018","OAK PARK",31
