"","year","SUBURB","n"
"810","2019","PASCOE VALE",312
"811","2019","PASCOE VALE SOUTH",117
"812","2019","PATTERSON LAKES",146
"813","2019","PEARCEDALE",46
"814","2019","PLENTY",16
"815","2019","PLUMPTON",11
"816","2019","POINT COOK",719
"817","2019","PORT MELBOURNE",314
"818","2019","PORTSEA",33
"819","2019","POWELLTOWN",4
"820","2019","PRAHRAN",310
"821","2019","PRESTON",445
"822","2019","PRINCES HILL",1
"823","2019","RED HILL",21
"824","2019","RED HILL SOUTH",2
"825","2019","REEFTON",1
"826","2019","RESEARCH",38
"827","2019","RESERVOIR",640
"828","2019","RICHMOND",488
"829","2019","RINGWOOD",308
"830","2019","RINGWOOD EAST",171
"831","2019","RINGWOOD NORTH",108
"832","2019","RIPPONLEA",13
"833","2019","ROCKBANK",23
"834","2019","ROSANNA",118
"835","2019","ROSEBUD",371
"836","2019","ROWVILLE",334
"837","2019","ROXBURGH PARK",233
"838","2019","RYE",322
"839","2019","SAFETY BEACH",148
"840","2019","SANDHURST",93
"841","2019","SANDRINGHAM",166
"842","2019","SASSAFRAS",12
"843","2019","SCORESBY",69
"844","2019","SEABROOK",57
"845","2019","SEAFORD",332
"846","2019","SEAHOLME",25
"847","2019","SEDDON",95
"848","2019","SELBY",21
"849","2019","SEVILLE",26
"850","2019","SEVILLE EAST",16
"851","2019","SHERBROOKE",3
"852","2019","SHOREHAM",7
"853","2019","SILVAN",17
"854","2019","SKYE",144
"855","2019","SMITHS GULLY",3
"856","2019","SOMERS",50
"857","2019","SOMERVILLE",163
"858","2019","SORRENTO",88
"859","2019","SOUTH KINGSVILLE",42
"860","2019","SOUTH MELBOURNE",205
"861","2019","SOUTH MORANG",269
"862","2019","SOUTH YARRA",425
"863","2019","SOUTHBANK",390
"864","2019","SPOTSWOOD",45
"865","2019","SPRINGVALE",150
"866","2019","SPRINGVALE SOUTH",81
"867","2019","ST ALBANS",329
"868","2019","ST ANDREWS",14
"869","2019","ST ANDREWS BEACH",26
"870","2019","ST HELENA",37
"871","2019","ST KILDA",416
"872","2019","ST KILDA EAST",274
"873","2019","ST KILDA WEST",55
"874","2019","STEELS CREEK",2
"875","2019","STRATHEWEN",3
"876","2019","STRATHMORE",127
"877","2019","STRATHMORE HEIGHTS",13
"878","2019","STRATHTULLOH",3
"879","2019","SUNBURY",598
"880","2019","SUNSHINE",132
"881","2019","SUNSHINE NORTH",112
"882","2019","SUNSHINE WEST",184
"883","2019","SURREY HILLS",165
"884","2019","SYDENHAM",113
"885","2019","TARNEIT",644
"886","2019","TARRAWARRA",1
"887","2019","TAYLORS HILL",126
"888","2019","TAYLORS LAKES",97
"889","2019","TECOMA",29
"890","2019","TEMPLESTOWE",216
"891","2019","TEMPLESTOWE LOWER",165
"892","2019","THE BASIN",41
"893","2019","THE PATCH",13
"894","2019","THOMASTOWN",194
"895","2019","THORNBURY",270
"896","2019","THORNHILL PARK",29
"897","2019","THREE BRIDGES",3
"898","2019","TOOLERN VALE",3
"899","2019","TOORADIN",11
"900","2019","TOORAK",216
"901","2019","TOOTGAROOK",84
"902","2019","TRAVANCORE",55
"903","2019","TREMONT",2
"904","2019","TRUGANINA",345
"905","2019","TUERONG",1
"906","2019","TULLAMARINE",94
"907","2019","TYABB",46
"908","2019","TYNONG",4
"909","2019","TYNONG NORTH",1
"910","2019","UPPER FERNTREE GULLY",50
"911","2019","UPWEY",101
"912","2019","VERMONT",132
"913","2019","VERMONT SOUTH",98
"914","2019","VIEWBANK",81
"915","2019","WANDIN EAST",1
"916","2019","WANDIN NORTH",36
"917","2019","WANTIRNA",151
"918","2019","WANTIRNA SOUTH",218
"919","2019","WARBURTON",36
"920","2019","WARNEET",9
"921","2019","WARRANDYTE",62
"922","2019","WARRANDYTE SOUTH",5
"923","2019","WARRANWOOD",46
"924","2019","WATERWAYS",14
"925","2019","WATSONIA",67
"926","2019","WATSONIA NORTH",39
"927","2019","WATTLE GLEN",22
"928","2019","WEIR VIEWS",23
"929","2019","WERRIBEE",629
"930","2019","WERRIBEE SOUTH",15
"931","2019","WESBURN",12
"932","2019","WEST FOOTSCRAY",163
"933","2019","WEST MELBOURNE",97
"934","2019","WESTMEADOWS",89
"935","2019","WHEELERS HILL",171
"936","2019","WHITTLESEA",94
"937","2019","WILLIAMS LANDING",95
"938","2019","WILLIAMSTOWN",217
"939","2019","WILLIAMSTOWN NORTH",7
"940","2019","WINDSOR",59
"941","2019","WOLLERT",324
"942","2019","WONGA PARK",36
"943","2019","WOORI YALLOCK",36
"944","2019","WYNDHAM VALE",282
"945","2019","YALLAMBIE",41
"946","2019","YAN YEAN",3
"947","2019","YANNATHAN",1
"948","2019","YARRA GLEN",33
"949","2019","YARRA JUNCTION",44
"950","2019","YARRAMBAT",8
"951","2019","YARRAVILLE",248
"952","2019","YELLINGBO",4
"953","2019","YERING",1
"954","2020","ABBOTSFORD",134
"955","2020","ABERFELDIE",29
"956","2020","AINTREE",78
"957","2020","AIRPORT WEST",130
"958","2020","ALBANVALE",43
"959","2020","ALBERT PARK",51
"960","2020","ALBION",60
"961","2020","ALPHINGTON",43
"962","2020","ALTONA",174
"963","2020","ALTONA MEADOWS",153
"964","2020","ALTONA NORTH",174
"965","2020","ARDEER",42
"966","2020","ARMADALE",93
"967","2020","ARTHURS CREEK",3
"968","2020","ARTHURS SEAT",9
"969","2020","ASCOT VALE",179
"970","2020","ASHBURTON",67
"971","2020","ASHWOOD",56
"972","2020","ASPENDALE",88
"973","2020","ASPENDALE GARDENS",38
"974","2020","ATTWOOD",25
"975","2020","AVONDALE HEIGHTS",103
"976","2020","AVONSLEIGH",10
"977","2020","BADGER CREEK",10
"978","2020","BALACLAVA",55
"979","2020","BALNARRING",22
"980","2020","BALNARRING BEACH",13
"981","2020","BALWYN",103
"982","2020","BALWYN NORTH",152
"983","2020","BAXTER",32
"984","2020","BAYSWATER",185
"985","2020","BAYSWATER NORTH",137
"986","2020","BEACONSFIELD",91
"987","2020","BEACONSFIELD UPPER",23
"988","2020","BEAUMARIS",132
"989","2020","BELGRAVE",51
"990","2020","BELGRAVE HEIGHTS",17
"991","2020","BELGRAVE SOUTH",12
"992","2020","BELLFIELD",24
"993","2020","BEND OF ISLANDS",3
"994","2020","BENTLEIGH",186
"995","2020","BENTLEIGH EAST",318
"996","2020","BERWICK",583
"997","2020","BIG PATS CREEK",3
"998","2020","BITTERN",57
"999","2020","BLACK ROCK",75
"1000","2020","BLACKBURN",164
"1001","2020","BLACKBURN NORTH",80
"1002","2020","BLACKBURN SOUTH",82
"1003","2020","BLAIRGOWRIE",126
"1004","2020","BLIND BIGHT",18
"1005","2020","BONBEACH",124
"1006","2020","BORONIA",366
"1007","2020","BOTANIC RIDGE",100
"1008","2020","BOX HILL",127
"1009","2020","BOX HILL NORTH",126
"1010","2020","BOX HILL SOUTH",98
"1011","2020","BRAYBROOK",99
"1012","2020","BRIAR HILL",41
"1013","2020","BRIGHTON",197
"1014","2020","BRIGHTON EAST",110
"1015","2020","BROADMEADOWS",106
"1016","2020","BROOKFIELD",124
"1017","2020","BROOKLYN",37
"1018","2020","BRUNSWICK",314
"1019","2020","BRUNSWICK EAST",190
"1020","2020","BRUNSWICK WEST",177
"1021","2020","BULLEEN",97
"1022","2020","BUNDOORA",275
"1023","2020","BUNYIP",42
"1024","2020","BURNLEY",2
"1025","2020","BURNSIDE",40
"1026","2020","BURNSIDE HEIGHTS",61
"1027","2020","BURWOOD",139
"1028","2020","BURWOOD EAST",89
"1029","2020","CAIRNLEA",59
"1030","2020","CAMBERWELL",155
"1031","2020","CAMPBELLFIELD",22
"1032","2020","CANNONS CREEK",7
"1033","2020","CANTERBURY",50
"1034","2020","CAPE SCHANCK",16
"1035","2020","CAPEL SOUND",104
"1036","2020","CARDINIA",3
"1037","2020","CARLTON",144
"1038","2020","CARLTON NORTH",58
"1039","2020","CARNEGIE",213
"1040","2020","CAROLINE SPRINGS",240
"1041","2020","CARRUM",80
"1042","2020","CARRUM DOWNS",339
"1043","2020","CATANI",1
"1044","2020","CAULFIELD",39
"1045","2020","CAULFIELD EAST",18
"1046","2020","CAULFIELD NORTH",122
"1047","2020","CAULFIELD SOUTH",107
"1048","2020","CHADSTONE",104
"1049","2020","CHELSEA",149
"1050","2020","CHELSEA HEIGHTS",50
"1051","2020","CHELTENHAM",273
"1052","2020","CHIRNSIDE PARK",138
"1053","2020","CHRISTMAS HILLS",2
"1054","2020","CHUM CREEK",5
"1055","2020","CLARINDA",59
"1056","2020","CLAYTON",145
"1057","2020","CLAYTON SOUTH",103
"1058","2020","CLEMATIS",4
"1059","2020","CLIFTON HILL",71
"1060","2020","CLYDE",186
"1061","2020","CLYDE NORTH",369
"1062","2020","COBBLEBANK",37
"1063","2020","COBURG",305
"1064","2020","COBURG NORTH",102
"1065","2020","COCKATOO",62
"1066","2020","COLDSTREAM",26
"1067","2020","COLLINGWOOD",125
"1068","2020","COOLAROO",22
"1069","2020","CORA LYNN",1
"1070","2020","COTTLES BRIDGE",4
"1071","2020","CRAIGIEBURN",735
"1072","2020","CRANBOURNE",267
"1073","2020","CRANBOURNE EAST",258
"1074","2020","CRANBOURNE NORTH",258
"1075","2020","CRANBOURNE SOUTH",22
"1076","2020","CRANBOURNE WEST",245
"1077","2020","CREMORNE",4
"1078","2020","CRIB POINT",51
"1079","2020","CROYDON",412
"1080","2020","CROYDON HILLS",42
"1081","2020","CROYDON NORTH",97
"1082","2020","CROYDON SOUTH",72
"1083","2020","DALLAS",53
"1084","2020","DANDENONG",292
"1085","2020","DANDENONG NORTH",160
"1086","2020","DEANSIDE",12
"1087","2020","DEEPDENE",8
"1088","2020","DEER PARK",186
"1089","2020","DELAHEY",59
"1090","2020","DERRIMUT",48
"1091","2020","DEVON MEADOWS",4
"1092","2020","DEWHURST",2
"1093","2020","DIAMOND CREEK",134
"1094","2020","DIGGERS REST",75
"1095","2020","DINGLEY VILLAGE",71
"1096","2020","DOCKLANDS",254
"1097","2020","DON VALLEY",1
"1098","2020","DONCASTER",230
"1099","2020","DONCASTER EAST",305
"1100","2020","DONNYBROOK",21
"1101","2020","DONVALE",117
"1102","2020","DOREEN",367
"1103","2020","DOVETON",121
"1104","2020","DROMANA",137
"1105","2020","EAGLEMONT",33
"1106","2020","EAST MELBOURNE",59
"1107","2020","EAST WARBURTON",8
"1108","2020","EDEN PARK",10
"1109","2020","EDITHVALE",107
"1110","2020","ELSTERNWICK",110
"1111","2020","ELTHAM",214
"1112","2020","ELTHAM NORTH",62
"1113","2020","ELWOOD",225
"1114","2020","EMERALD",70
"1115","2020","ENDEAVOUR HILLS",230
"1116","2020","EPPING",294
"1117","2020","ESSENDON",259
"1118","2020","ESSENDON NORTH",49
"1119","2020","ESSENDON WEST",19
"1120","2020","EUMEMMERRING",31
"1121","2020","EYNESBURY",41
"1122","2020","FAIRFIELD",65
"1123","2020","FAWKNER",139
"1124","2020","FERNTREE GULLY",306
"1125","2020","FERNY CREEK",15
"1126","2020","FINGAL",31
"1127","2020","FITZROY",111
"1128","2020","FITZROY NORTH",120
"1129","2020","FLEMINGTON",83
"1130","2020","FLINDERS",21
"1131","2020","FOOTSCRAY",225
"1132","2020","FOREST HILL",97
"1133","2020","FRANKSTON",685
"1134","2020","FRANKSTON NORTH",102
"1135","2020","FRANKSTON SOUTH",254
"1136","2020","FRASER RISE",106
"1137","2020","GARDENVALE",7
"1138","2020","GARFIELD",18
"1139","2020","GARFIELD NORTH",2
"1140","2020","GEMBROOK",27
"1141","2020","GILDEROY",1
"1142","2020","GLADSTONE PARK",70
"1143","2020","GLADYSDALE",3
"1144","2020","GLEN HUNTLY",69
"1145","2020","GLEN IRIS",208
"1146","2020","GLEN WAVERLEY",317
"1147","2020","GLENROY",285
"1148","2020","GOWANBRAE",28
"1149","2020","GREENSBOROUGH",228
"1150","2020","GREENVALE",206
"1151","2020","GRUYERE",7
"1152","2020","GUYS HILL",1
"1153","2020","HADFIELD",93
"1154","2020","HALLAM",97
"1155","2020","HAMPTON",131
"1156","2020","HAMPTON EAST",83
"1157","2020","HAMPTON PARK",254
"1158","2020","HARKAWAY",12
"1159","2020","HARKNESS",166
"1160","2020","HASTINGS",186
"1161","2020","HAWTHORN",214
"1162","2020","HAWTHORN EAST",128
"1163","2020","HEALESVILLE",107
"1164","2020","HEATHERTON",26
"1165","2020","HEATHMONT",94
"1166","2020","HEIDELBERG",80
"1167","2020","HEIDELBERG HEIGHTS",103
"1168","2020","HEIDELBERG WEST",72
"1169","2020","HIGHETT",163
"1170","2020","HILLSIDE",150
"1171","2020","HODDLES CREEK",7
"1172","2020","HOPPERS CROSSING",335
"1173","2020","HUGHESDALE",42
"1174","2020","HUNTINGDALE",18
"1175","2020","HURSTBRIDGE",25
"1176","2020","IONA",1
"1177","2020","IVANHOE",112
"1178","2020","IVANHOE EAST",31
"1179","2020","JACANA",15
"1180","2020","JUNCTION VILLAGE",15
"1181","2020","KALKALLO",78
"1182","2020","KALLISTA",15
"1183","2020","KALORAMA",22
"1184","2020","KANGAROO GROUND",11
"1185","2020","KEALBA",25
"1186","2020","KEILOR",41
"1187","2020","KEILOR DOWNS",58
"1188","2020","KEILOR EAST",146
"1189","2020","KEILOR LODGE",1
"1190","2020","KEILOR PARK",19
"1191","2020","KENSINGTON",146
"1192","2020","KEW",193
"1193","2020","KEW EAST",42
"1194","2020","KEYSBOROUGH",262
"1195","2020","KILSYTH",196
"1196","2020","KILSYTH SOUTH",17
"1197","2020","KINGS PARK",61
"1198","2020","KINGSBURY",30
"1199","2020","KINGSVILLE",48
"1200","2020","KNOXFIELD",85
"1201","2020","KOO WEE RUP",54
"1202","2020","KOOYONG",4
"1203","2020","KURUNJANG",131
"1204","2020","LALOR",196
"1205","2020","LANG LANG",34
"1206","2020","LANGWARRIN",343
"1207","2020","LANGWARRIN SOUTH",4
"1208","2020","LAUNCHING PLACE",33
"1209","2020","LAVERTON",92
"1210","2020","LILYDALE",227
"1211","2020","LITTLE RIVER",5
"1212","2020","LOWER PLENTY",44
"1213","2020","LYNBROOK",67
"1214","2020","LYNDHURST",104
"1215","2020","LYSTERFIELD",45
"1216","2020","LYSTERFIELD SOUTH",2
"1217","2020","MACCLESFIELD",7
"1218","2020","MACLEOD",120
"1219","2020","MAIDSTONE",129
"1220","2020","MAIN RIDGE",2
"1221","2020","MALVERN",69
"1222","2020","MALVERN EAST",171
"1223","2020","MANOR LAKES",132
"1224","2020","MARIBYRNONG",149
"1225","2020","MARYKNOLL",2
"1226","2020","MCCRAE",70
"1227","2020","MCKINNON",44
"1228","2020","MCMAHONS CREEK",3
"1229","2020","MEADOW HEIGHTS",105
"1230","2020","MELBOURNE",436
"1231","2020","MELTON",136
"1232","2020","MELTON SOUTH",222
"1233","2020","MELTON WEST",136
"1234","2020","MENTONE",166
"1235","2020","MENZIES CREEK",8
"1236","2020","MERNDA",317
"1237","2020","MERRICKS BEACH",3
"1238","2020","MERRICKS NORTH",2
"1239","2020","MICKLEHAM",301
"1240","2020","MIDDLE PARK",45
"1241","2020","MILL PARK",222
"1242","2020","MILLGROVE",37
"1243","2020","MITCHAM",213
"1244","2020","MONBULK",57
"1245","2020","MONT ALBERT",33
"1246","2020","MONT ALBERT NORTH",45
"1247","2020","MONTMORENCY",119
"1248","2020","MONTROSE",60
"1249","2020","MOONEE PONDS",173
"1250","2020","MOORABBIN",59
"1251","2020","MOOROOLBARK",257
"1252","2020","MORDIALLOC",113
"1253","2020","MORNINGTON",459
"1254","2020","MOUNT BURNETT",2
"1255","2020","MOUNT COTTRELL",1
"1256","2020","MOUNT DANDENONG",26
"1257","2020","MOUNT ELIZA",247
"1258","2020","MOUNT EVELYN",103
"1259","2020","MOUNT MARTHA",348
"1260","2020","MOUNT WAVERLEY",305
"1261","2020","MULGRAVE",163
"1262","2020","MURRUMBEENA",106
"1263","2020","NAR NAR GOON",5
"1264","2020","NAR NAR GOON NORTH",5
"1265","2020","NARRE WARREN",282
"1266","2020","NARRE WARREN EAST",1
"1267","2020","NARRE WARREN NORTH",40
"1268","2020","NARRE WARREN SOUTH",280
"1269","2020","NEWPORT",156
"1270","2020","NIDDRIE",81
"1271","2020","NOBLE PARK",263
"1272","2020","NOBLE PARK NORTH",41
"1273","2020","NORTH MELBOURNE",139
"1274","2020","NORTH WARRANDYTE",37
"1275","2020","NORTHCOTE",308
"1276","2020","NOTTING HILL",21
"1277","2020","NUNAWADING",133
"1278","2020","OAK PARK",105
"1279","2020","OAKLEIGH",88
"1280","2020","OAKLEIGH EAST",66
"1281","2020","OAKLEIGH SOUTH",101
"1282","2020","OFFICER",388
"1283","2020","OFFICER SOUTH",9
"1284","2020","OLINDA",21
"1285","2020","ORMOND",90
"1286","2020","PAKENHAM",927
"1287","2020","PAKENHAM UPPER",12
"1288","2020","PANTON HILL",3
"1289","2020","PARK ORCHARDS",32
"1290","2020","PARKDALE",139
"1291","2020","PARKVILLE",51
"1292","2020","PASCOE VALE",212
"1293","2020","PASCOE VALE SOUTH",95
"1294","2020","PATTERSON LAKES",95
"1295","2020","PEARCEDALE",25
"1296","2020","PLENTY",17
"1297","2020","PLUMPTON",14
"1298","2020","POINT COOK",585
"1299","2020","PORT MELBOURNE",238
"1300","2020","PORTSEA",24
"1301","2020","POWELLTOWN",1
"1302","2020","PRAHRAN",251
"1303","2020","PRESTON",357
"1304","2020","PRINCES HILL",1
"1305","2020","RED HILL",11
"1306","2020","RESEARCH",21
"1307","2020","RESERVOIR",549
"1308","2020","RICHMOND",402
"1309","2020","RINGWOOD",238
"1310","2020","RINGWOOD EAST",139
"1311","2020","RINGWOOD NORTH",97
"1312","2020","RIPPONLEA",19
"1313","2020","ROCKBANK",38
"1314","2020","ROSANNA",81
"1315","2020","ROSEBUD",386
"1316","2020","ROWVILLE",274
"1317","2020","ROXBURGH PARK",173
"1318","2020","RYE",317
"1319","2020","RYTHDALE",1
"1320","2020","SAFETY BEACH",157
"1321","2020","SANDHURST",71
"1322","2020","SANDRINGHAM",124
"1323","2020","SASSAFRAS",14
"1324","2020","SCORESBY",37
"1325","2020","SEABROOK",35
"1326","2020","SEAFORD",280
"1327","2020","SEAHOLME",26
"1328","2020","SEDDON",85
"1329","2020","SELBY",16
"1330","2020","SEVILLE",26
"1331","2020","SEVILLE EAST",5
"1332","2020","SHERBROOKE",5
"1333","2020","SHOREHAM",4
"1334","2020","SILVAN",9
"1335","2020","SKYE",78
"1336","2020","SMITHS GULLY",3
"1337","2020","SOMERS",29
"1338","2020","SOMERVILLE",146
"1339","2020","SORRENTO",82
"1340","2020","SOUTH KINGSVILLE",44
"1341","2020","SOUTH MELBOURNE",148
"1342","2020","SOUTH MORANG",232
"1343","2020","SOUTH WHARF",1
"1344","2020","SOUTH YARRA",344
"1345","2020","SOUTHBANK",383
"1346","2020","SPOTSWOOD",32
"1347","2020","SPRINGVALE",119
"1348","2020","SPRINGVALE SOUTH",56
"1349","2020","ST ALBANS",288
"1350","2020","ST ANDREWS",6
"1351","2020","ST ANDREWS BEACH",22
"1352","2020","ST HELENA",24
"1353","2020","ST KILDA",376
"1354","2020","ST KILDA EAST",158
"1355","2020","ST KILDA WEST",41
"1356","2020","STEELS CREEK",2
"1357","2020","STRATHMORE",87
"1358","2020","STRATHMORE HEIGHTS",8
"1359","2020","STRATHTULLOH",22
"1360","2020","SUNBURY",550
"1361","2020","SUNSHINE",96
"1362","2020","SUNSHINE NORTH",77
"1363","2020","SUNSHINE WEST",139
"1364","2020","SURREY HILLS",110
"1365","2020","SYDENHAM",110
"1366","2020","TARNEIT",553
"1367","2020","TAYLORS HILL",101
"1368","2020","TAYLORS LAKES",80
"1369","2020","TECOMA",21
"1370","2020","TEMPLESTOWE",130
"1371","2020","TEMPLESTOWE LOWER",130
"1372","2020","THE BASIN",43
"1373","2020","THE PATCH",11
"1374","2020","THOMASTOWN",148
"1375","2020","THORNBURY",195
"1376","2020","THORNHILL PARK",50
"1377","2020","THREE BRIDGES",2
"1378","2020","TOOLANGI",6
"1379","2020","TOOLERN VALE",6
"1380","2020","TOORADIN",14
"1381","2020","TOORAK",105
"1382","2020","TOOTGAROOK",82
"1383","2020","TRAVANCORE",41
"1384","2020","TREMONT",2
"1385","2020","TRUGANINA",372
"1386","2020","TULLAMARINE",72
"1387","2020","TYABB",31
"1388","2020","TYNONG",4
"1389","2020","TYNONG NORTH",4
"1390","2020","UPPER FERNTREE GULLY",28
"1391","2020","UPWEY",61
"1392","2020","VERMONT",101
"1393","2020","VERMONT SOUTH",82
"1394","2020","VIEWBANK",54
"1395","2020","WANDIN EAST",4
"1396","2020","WANDIN NORTH",28
"1397","2020","WANTIRNA",112
"1398","2020","WANTIRNA SOUTH",148
"1399","2020","WARBURTON",34
"1400","2020","WARNEET",17
"1401","2020","WARRANDYTE",45
"1402","2020","WARRANDYTE SOUTH",6
"1403","2020","WARRANWOOD",42
"1404","2020","WATERWAYS",15
"1405","2020","WATSONIA",73
"1406","2020","WATSONIA NORTH",26
"1407","2020","WATSONS CREEK",1
"1408","2020","WATTLE GLEN",20
"1409","2020","WEIR VIEWS",41
"1410","2020","WERRIBEE",571
"1411","2020","WERRIBEE SOUTH",20
"1412","2020","WESBURN",8
"1413","2020","WEST FOOTSCRAY",167
"1414","2020","WEST MELBOURNE",67
"1415","2020","WESTMEADOWS",87
"1416","2020","WHEELERS HILL",130
"1417","2020","WHITTLESEA",96
"1418","2020","WILDWOOD",1
"1419","2020","WILLIAMS LANDING",83
"1420","2020","WILLIAMSTOWN",171
"1421","2020","WILLIAMSTOWN NORTH",4
"1422","2020","WINDSOR",62
"1423","2020","WOLLERT",513
"1424","2020","WONGA PARK",23
"1425","2020","WOORI YALLOCK",47
"1426","2020","WYNDHAM VALE",242
"1427","2020","YALLAMBIE",21
"1428","2020","YAN YEAN",1
"1429","2020","YARRA GLEN",32
"1430","2020","YARRA JUNCTION",49
"1431","2020","YARRAMBAT",13
"1432","2020","YARRAVILLE",192
"1433","2020","YELLINGBO",4
"1434","2021","ABBOTSFORD",63
"1435","2021","ABERFELDIE",9
"1436","2021","AINTREE",38
"1437","2021","AIRPORT WEST",40
"1438","2021","ALBANVALE",17
"1439","2021","ALBERT PARK",21
"1440","2021","ALBION",19
"1441","2021","ALPHINGTON",18
"1442","2021","ALTONA",65
"1443","2021","ALTONA MEADOWS",63
"1444","2021","ALTONA NORTH",60
"1445","2021","ARDEER",17
"1446","2021","ARMADALE",35
"1447","2021","ARTHURS CREEK",1
"1448","2021","ARTHURS SEAT",1
"1449","2021","ASCOT VALE",60
"1450","2021","ASHBURTON",14
"1451","2021","ASHWOOD",27
"1452","2021","ASPENDALE",32
"1453","2021","ASPENDALE GARDENS",9
"1454","2021","ATTWOOD",5
"1455","2021","AVONDALE HEIGHTS",53
"1456","2021","AVONSLEIGH",5
"1457","2021","BADGER CREEK",7
"1458","2021","BALACLAVA",21
"1459","2021","BALNARRING",12
"1460","2021","BALNARRING BEACH",5
"1461","2021","BALWYN",47
"1462","2021","BALWYN NORTH",53
"1463","2021","BAXTER",6
"1464","2021","BAYLES",1
"1465","2021","BAYSWATER",64
"1466","2021","BAYSWATER NORTH",37
"1467","2021","BEACONSFIELD",30
"1468","2021","BEACONSFIELD UPPER",3
"1469","2021","BEAUMARIS",48
"1470","2021","BELGRAVE",13
"1471","2021","BELGRAVE HEIGHTS",7
"1472","2021","BELGRAVE SOUTH",6
"1473","2021","BELLFIELD",5
"1474","2021","BEND OF ISLANDS",2
"1475","2021","BENTLEIGH",73
"1476","2021","BENTLEIGH EAST",100
"1477","2021","BERWICK",228
"1478","2021","BITTERN",20
"1479","2021","BLACK ROCK",24
"1480","2021","BLACKBURN",52
"1481","2021","BLACKBURN NORTH",20
"1482","2021","BLACKBURN SOUTH",36
"1483","2021","BLAIRGOWRIE",32
"1484","2021","BLIND BIGHT",6
"1485","2021","BONBEACH",55
"1486","2021","BONNIE BROOK",1
"1487","2021","BORONIA",103
"1488","2021","BOTANIC RIDGE",24
"1489","2021","BOX HILL",51
"1490","2021","BOX HILL NORTH",50
"1491","2021","BOX HILL SOUTH",39
"1492","2021","BRAYBROOK",42
"1493","2021","BRIAR HILL",13
"1494","2021","BRIGHTON",41
"1495","2021","BRIGHTON EAST",46
"1496","2021","BROADMEADOWS",50
"1497","2021","BROOKFIELD",46
"1498","2021","BROOKLYN",15
"1499","2021","BRUNSWICK",121
"1500","2021","BRUNSWICK EAST",61
"1501","2021","BRUNSWICK WEST",63
"1502","2021","BULLA",1
"1503","2021","BULLEEN",56
"1504","2021","BUNDOORA",97
"1505","2021","BUNYIP",10
"1506","2021","BURNLEY",1
"1507","2021","BURNSIDE",9
"1508","2021","BURNSIDE HEIGHTS",11
"1509","2021","BURWOOD",59
"1510","2021","BURWOOD EAST",29
"1511","2021","CAIRNLEA",14
"1512","2021","CAMBERWELL",40
"1513","2021","CAMPBELLFIELD",13
"1514","2021","CANNONS CREEK",5
"1515","2021","CANTERBURY",15
"1516","2021","CAPE SCHANCK",6
"1517","2021","CAPEL SOUND",46
"1518","2021","CARLTON",50
"1519","2021","CARLTON NORTH",29
"1520","2021","CARNEGIE",81
"1521","2021","CAROLINE SPRINGS",85
"1522","2021","CARRUM",31
"1523","2021","CARRUM DOWNS",136
"1524","2021","CATANI",1
"1525","2021","CAULFIELD",20
"1526","2021","CAULFIELD EAST",3
"1527","2021","CAULFIELD NORTH",40
"1528","2021","CAULFIELD SOUTH",32
"1529","2021","CHADSTONE",42
"1530","2021","CHELSEA",55
"1531","2021","CHELSEA HEIGHTS",16
"1532","2021","CHELTENHAM",102
"1533","2021","CHIRNSIDE PARK",44
"1534","2021","CHUM CREEK",2
"1535","2021","CLARINDA",13
"1536","2021","CLAYTON",51
"1537","2021","CLAYTON SOUTH",50
"1538","2021","CLEMATIS",3
"1539","2021","CLIFTON HILL",22
"1540","2021","CLYDE",56
"1541","2021","CLYDE NORTH",133
"1542","2021","COBBLEBANK",16
"1543","2021","COBURG",107
"1544","2021","COBURG NORTH",22
"1545","2021","COCKATOO",17
"1546","2021","COLDSTREAM",8
"1547","2021","COLLINGWOOD",47
"1548","2021","COOLAROO",7
"1549","2021","COTTLES BRIDGE",1
"1550","2021","CRAIGIEBURN",268
"1551","2021","CRANBOURNE",107
"1552","2021","CRANBOURNE EAST",84
"1553","2021","CRANBOURNE NORTH",93
"1554","2021","CRANBOURNE SOUTH",5
"1555","2021","CRANBOURNE WEST",92
"1556","2021","CREMORNE",3
"1557","2021","CRIB POINT",18
"1558","2021","CROYDON",161
"1559","2021","CROYDON HILLS",10
"1560","2021","CROYDON NORTH",42
"1561","2021","CROYDON SOUTH",18
"1562","2021","DALLAS",15
"1563","2021","DANDENONG",114
"1564","2021","DANDENONG NORTH",76
"1565","2021","DEANSIDE",14
"1566","2021","DEEPDENE",2
"1567","2021","DEER PARK",63
"1568","2021","DELAHEY",23
"1569","2021","DERRIMUT",21
"1570","2021","DEVON MEADOWS",2
"1571","2021","DIAMOND CREEK",33
"1572","2021","DIGGERS REST",28
"1573","2021","DINGLEY VILLAGE",35
"1574","2021","DOCKLANDS",103
"1575","2021","DON VALLEY",2
"1576","2021","DONCASTER",100
"1577","2021","DONCASTER EAST",117
"1578","2021","DONNYBROOK",19
"1579","2021","DONVALE",34
"1580","2021","DOREEN",128
"1581","2021","DOVETON",46
"1582","2021","DROMANA",50
"1583","2021","EAGLEMONT",6
"1584","2021","EAST MELBOURNE",17
"1585","2021","EAST WARBURTON",3
"1586","2021","EDEN PARK",1
"1587","2021","EDITHVALE",45
"1588","2021","ELSTERNWICK",30
"1589","2021","ELTHAM",73
"1590","2021","ELTHAM NORTH",26
"1591","2021","ELWOOD",73
"1592","2021","EMERALD",26
"1593","2021","ENDEAVOUR HILLS",65
